,Quant,GraduationYear,experince,12percentage,10percentage,Salary
1521,210,2014,1,87.58,79.6,195000
1473,595,2012,0,76.0,88.4,460000
731,605,2013,1,72.6,88.0,200000
271,515,2013,1,63.0,83.0,160000
1509,235,2013,1,46.0,55.0,105000
369,720,2013,1,90.8,91.8,380000
783,795,2014,1,78.8,82.0,325000
1866,485,2011,0,78.2,67.7,500000
2466,475,2012,0,57.0,72.0,270000
2057,495,2010,0,86.29,92.0,75000
2083,544,2011,0,63.0,65.16,150000
1087,575,2015,1,88.3,90.0,325000
674,330,2014,1,83.58,88.2,100000
109,465,2014,1,61.0,64.0,360000
933,585,2014,1,61.6,79.37,265000
2470,445,2011,0,70.0,72.0,200000
1261,680,2013,1,88.0,92.83,565000
2363,375,2013,1,66.67,78.0,160000
1411,320,2014,1,60.0,62.0,125000
2713,705,2014,1,82.4,92.4,335000
2181,655,2013,1,78.0,85.38,335000
1458,510,2014,1,74.0,82.0,240000
119,575,2011,0,75.0,76.0,315000
2951,445,2013,1,69.16,87.2,240000
1490,695,2014,1,89.0,92.0,305000
2162,615,2010,0,64.4,66.5,750000
2859,400,2014,1,68.5,72.0,400000
1820,400,2014,1,54.0,72.0,145000
1754,650,2013,1,70.8,90.0,335000
2942,885,2013,1,91.4,95.2,500000
2276,405,2011,0,74.0,75.0,100000
2468,415,2014,1,68.04,62.6,220000
2760,475,2011,0,83.0,71.0,280000
2592,560,2014,1,91.0,82.7,320000
215,495,2012,0,57.8,73.0,225000
2962,450,2014,1,61.83,83.46,350000
1749,510,2014,1,65.2,94.43,330000
392,515,2012,0,64.0,85.0,435000
27,695,2010,0,78.6,86.17,500000
2360,720,2013,1,96.33,97.76,800000
2065,235,2012,0,80.7,81.2,215000
478,605,2011,0,93.0,91.4,495000
2984,505,2011,0,58.6,69.2,105000
2559,415,2013,1,74.0,62.13,95000
2410,430,2013,1,76.0,85.0,350000
2883,345,2011,0,52.0,58.0,100000
678,405,2012,0,63.83,62.5,230000
1255,415,2014,1,67.0,81.0,240000
1396,425,2012,0,63.6,48.0,180000
2906,440,2013,1,72.8,75.6,210000
619,525,2011,0,92.3,85.0,360000
1482,510,2014,1,61.6,76.0,100000
1717,870,2013,1,87.0,78.8,605000
1697,545,2014,1,87.4,74.83,350000
2211,575,2012,0,65.2,59.0,350000
1939,465,2011,0,52.0,77.0,640000
1257,340,2013,1,61.0,69.0,200000
2597,345,2012,0,55.0,70.2,310000
1432,430,2014,1,85.4,86.4,325000
563,595,2012,0,90.1,82.67,410000
2850,555,2012,0,56.0,66.8,90000
906,545,2011,0,62.0,71.0,225000
1423,445,2012,0,65.33,65.23,285000
188,655,2012,0,94.16,89.0,385000
1185,505,2012,0,77.16,72.6,300000
2275,555,2012,0,64.0,73.0,460000
692,645,2014,1,91.83,92.8,220000
927,470,2013,1,64.8,85.75,130000
1610,615,2010,0,83.6,82.5,495000
2090,725,2009,0,62.0,69.0,180000
1403,615,2012,0,77.4,77.33,400000
2748,545,2012,0,82.2,74.33,200000
1109,655,2014,1,80.75,72.0,320000
1733,405,2014,1,66.4,69.8,240000
997,395,2012,0,72.0,61.0,210000
2143,475,2014,1,78.2,85.8,360000
597,295,2014,1,62.2,55.0,200000
314,320,2014,1,61.92,88.64,100000
1840,470,2013,1,89.33,79.2,40000
37,320,2014,1,65.72,63.5,220000
425,270,2013,1,64.0,63.0,120000
2618,505,2012,0,68.4,80.5,550000
2836,635,2012,0,85.0,93.0,405000
2271,435,2011,0,62.8,61.4,300000
2901,505,2013,1,65.0,73.0,350000
1157,650,2014,1,73.0,83.0,120000
2052,370,2013,1,60.0,80.0,300000
299,794,2014,1,87.6,81.2,820000
443,585,2014,1,89.4,90.0,2000000
1277,575,2014,1,65.6,64.4,150000
1983,510,2013,1,76.8,72.2,145000
596,415,2014,1,63.7,67.3,180000
1549,445,2016,1,79.8,72.3,350000
2148,425,2013,1,76.6,84.4,195000
1041,395,2011,0,57.8,75.8,180000
667,535,2013,1,89.0,85.33,315000
1138,470,2014,1,65.2,69.85,120000
1418,555,2013,1,66.2,76.4,165000
546,510,2013,1,74.0,77.0,300000
2067,465,2013,1,66.0,77.0,335000
2565,535,2013,1,93.0,90.0,100000
2226,680,2014,1,74.0,81.0,200000
666,180,2012,0,67.25,67.72,185000
2402,510,2014,1,69.4,78.6,350000
766,515,2012,0,69.8,86.2,150000
1061,485,2013,1,63.0,70.75,300000
1386,505,2011,0,68.89,63.2,445000
191,605,2012,0,81.0,79.8,420000
